,Asx Code,Company Name,Finacial Year,Revenue Increase %,industry,pricediff
234,ECG,ECARGO HOLDINGS LIMITED,12/31/2015,249.00000000000003,Commercial & Professional Services,-3.6832479882955367
235,EAR,ECHO RESOURCES LIMITED,6/30/2015,50.0,Materials,125.46541025051708
236,EPM,ECLIPSE METALS LIMITED.,6/30/2017,81.0,Energy,-6.683804627249354
237,ECX,ECLIPX GROUP LIMITED,9/30/2015,68.0,Diversified Financials,12.028529309746794
238,EDE,EDEN INNOVATIONS LTD,6/30/2018,38.0,Energy,0.0
239,EGA,EGAN STREET RESOURCES LIMITED,6/30/2017,2975.0,Materials,-2.8931185944363107
240,EDC,EILDON CAPITAL LIMITED,6/30/2016,65.0,Diversified Financials,
241,ENN,ELANOR INVESTORS GROUP,6/30/2017,39.0,Consumer Services,-6.8300735689933605
242,ERF,ELANOR RETAIL PROPERTY FUND,6/30/2017,146.0,Real Estate,-2.7415730337078665
243,ELT,ELEMENTOS LIMITED,6/30/2015,665.0,Materials,-10.291262135922324
244,EXL,ELIXINOL GLOBAL LIMITED,6/30/2004,32.0,Household & Personal Products,
245,ELO,ELMO SOFTWARE LIMITED,6/30/2017,36.0,Software & Services,107.36006963042315
246,EMB,EMBELTON LIMITED,6/30/2018,34.0,Capital Goods,0.0
247,EHL,EMECO HOLDINGS LIMITED,6/30/2018,94.0,Capital Goods,0.0
248,EMR,EMERALD RESOURCES NL,6/30/2016,6602.0,Materials,16.14742014742015
249,EML,EML PAYMENTS LIMITED,6/30/2016,61.0,Software & Services,16.386666666666667
250,ERM,EMMERSON RESOURCES LIMITED,6/30/2015,69.0,Materials,152.74719101123583
251,EME,ENERGY METALS LTD,12/31/2016,92.0,Energy,37.819095477386945
252,EOL,ENERGY ONE LIMITED,6/30/2018,71.0,Software & Services,0.0
253,ENE,ENEVIS LIMITED,6/30/2016,338.0,Capital Goods,-27.204596665164487
254,EXO,ENNOX GROUP LTD,6/30/2015,257.0,Diversified Financials,-57.37113402061852
255,ETE,ENTEK ENERGY LTD,6/30/2017,498.00000000000006,Energy,-15.900826446280993
256,ECT,ENVIRONMENTAL CLEAN TECHNOLOGIES LIMITED.,6/30/2016,567.0,Commercial & Professional Services,-13.425814234016881
257,EHE,ESTIA HEALTH LIMITED,6/30/2016,55.00000000000001,Health Care Equipment & Services,-28.161858630888585
258,ESK,ETHERSTACK PLC,12/31/2016,169.0,Software & Services,0.14454545454545462
259,EGH,EUREKA GROUP HOLDINGS LIMITED,6/30/2016,78.0,Real Estate,-40.51562068012165
260,EUC,EUROPEAN COBALT LTD,6/30/2015,155.0,Materials,-89.15078933043006
261,EUR,EUROPEAN LITHIUM LIMITED,6/30/2016,12699903.0,Materials,14.99725274725275
